date,bank,rating
2021-03-27,CBE Mobile Banking,3.0
2021-03-28,CBE Mobile Banking,5.0
2021-03-30,CBE Mobile Banking,3.0
2021-03-31,CBE Mobile Banking,4.0
2021-04-02,CBE Mobile Banking,1.0
2021-04-03,CBE Mobile Banking,3.0
2021-04-04,CBE Mobile Banking,4.0
2021-04-05,CBE Mobile Banking,5.0
2021-04-07,CBE Mobile Banking,1.0
2021-04-08,CBE Mobile Banking,5.0
2021-04-09,CBE Mobile Banking,5.0
2021-04-10,CBE Mobile Banking,4.5
2021-04-11,CBE Mobile Banking,1.0
2021-04-12,CBE Mobile Banking,3.6666666666666665
2021-04-15,CBE Mobile Banking,1.0
2021-04-16,CBE Mobile Banking,5.0
2021-04-17,CBE Mobile Banking,3.0
2021-04-18,CBE Mobile Banking,4.0
2021-04-19,CBE Mobile Banking,5.0
2021-04-21,CBE Mobile Banking,3.0
2021-04-22,CBE Mobile Banking,4.0
2021-04-24,CBE Mobile Banking,3.0
2021-04-27,CBE Mobile Banking,3.0
2021-04-29,CBE Mobile Banking,3.6666666666666665
2021-05-01,CBE Mobile Banking,1.0
2021-05-02,CBE Mobile Banking,3.6666666666666665
2021-05-03,CBE Mobile Banking,1.0
2021-05-04,CBE Mobile Banking,5.0
2021-05-05,CBE Mobile Banking,1.0
2021-05-07,CBE Mobile Banking,2.6666666666666665
2021-05-08,CBE Mobile Banking,1.0
2021-05-10,CBE Mobile Banking,5.0
2021-05-11,CBE Mobile Banking,1.0
2021-05-13,CBE Mobile Banking,3.0
2021-05-14,CBE Mobile Banking,1.0
2021-05-15,CBE Mobile Banking,3.3333333333333335
2021-05-16,CBE Mobile Banking,5.0
2021-05-17,CBE Mobile Banking,3.0
2021-05-18,CBE Mobile Banking,1.0
2021-05-19,CBE Mobile Banking,5.0
2021-05-20,CBE Mobile Banking,1.0
2021-05-24,CBE Mobile Banking,4.5
2021-05-25,CBE Mobile Banking,1.0
2021-05-26,CBE Mobile Banking,3.5
2021-05-28,CBE Mobile Banking,1.0
2021-05-29,CBE Mobile Banking,3.3333333333333335
2021-05-30,CBE Mobile Banking,3.5
2021-05-31,CBE Mobile Banking,3.3333333333333335
2021-06-01,CBE Mobile Banking,4.666666666666667
2021-06-02,CBE Mobile Banking,4.0
2021-06-03,CBE Mobile Banking,2.8333333333333335
2021-06-04,CBE Mobile Banking,3.4166666666666665
2021-06-05,CBE Mobile Banking,4.0
2021-06-06,CBE Mobile Banking,3.4
2021-06-07,CBE Mobile Banking,2.5
2021-06-08,CBE Mobile Banking,3.0
2021-06-09,CBE Mobile Banking,4.5
2021-06-11,CBE Mobile Banking,4.0
2021-06-12,CBE Mobile Banking,1.0
2021-06-13,CBE Mobile Banking,3.0
2021-06-15,CBE Mobile Banking,3.0
2021-06-17,CBE Mobile Banking,3.0
2021-06-18,CBE Mobile Banking,1.0
2021-06-19,CBE Mobile Banking,3.0
2021-06-20,CBE Mobile Banking,4.0
2021-06-21,CBE Mobile Banking,5.0
2021-06-24,CBE Mobile Banking,3.6666666666666665
2021-06-25,CBE Mobile Banking,3.5
2021-06-26,CBE Mobile Banking,5.0
2021-06-27,CBE Mobile Banking,2.6666666666666665
2021-06-28,CBE Mobile Banking,2.0
2021-06-29,CBE Mobile Banking,5.0
2021-06-30,CBE Mobile Banking,5.0
2021-07-06,CBE Mobile Banking,4.0
2021-07-07,CBE Mobile Banking,1.0
2021-07-08,CBE Mobile Banking,5.0
2021-07-09,CBE Mobile Banking,5.0
2021-07-10,CBE Mobile Banking,5.0
2021-07-11,CBE Mobile Banking,3.0
2021-07-12,CBE Mobile Banking,3.0
2021-07-13,CBE Mobile Banking,5.0
2021-07-14,CBE Mobile Banking,1.0
2021-07-15,CBE Mobile Banking,4.5
2021-07-16,CBE Mobile Banking,5.0
2021-07-17,CBE Mobile Banking,4.5
2021-07-19,CBE Mobile Banking,4.0
2021-07-22,CBE Mobile Banking,5.0
2021-07-25,CBE Mobile Banking,3.0
2021-07-27,CBE Mobile Banking,5.0
2021-07-30,CBE Mobile Banking,5.0
2021-08-02,CBE Mobile Banking,3.0
2021-08-03,CBE Mobile Banking,1.0
2021-08-04,CBE Mobile Banking,2.0
2021-08-05,CBE Mobile Banking,4.0
2021-08-07,CBE Mobile Banking,5.0
2021-08-09,CBE Mobile Banking,3.5
2021-08-11,CBE Mobile Banking,1.0
2021-08-12,CBE Mobile Banking,2.5
2021-08-13,CBE Mobile Banking,2.0
2021-08-14,CBE Mobile Banking,5.0
2021-08-16,CBE Mobile Banking,2.0
2021-08-17,CBE Mobile Banking,3.0
2021-08-18,CBE Mobile Banking,3.0
2021-08-19,CBE Mobile Banking,3.0
2021-08-20,CBE Mobile Banking,2.5
2021-08-21,CBE Mobile Banking,3.0
2021-08-23,CBE Mobile Banking,2.0
2021-08-24,CBE Mobile Banking,4.5
2021-08-25,CBE Mobile Banking,3.6666666666666665
2021-08-26,CBE Mobile Banking,3.0
2021-08-27,CBE Mobile Banking,1.5
2021-08-30,CBE Mobile Banking,5.0
2021-08-31,CBE Mobile Banking,4.0
2021-09-01,CBE Mobile Banking,4.0
2021-09-02,CBE Mobile Banking,3.0
2021-09-03,CBE Mobile Banking,3.0
2021-09-07,CBE Mobile Banking,3.6666666666666665
2021-09-10,CBE Mobile Banking,3.5
2021-09-12,CBE Mobile Banking,5.0
2021-09-13,CBE Mobile Banking,4.0
2021-09-14,CBE Mobile Banking,2.5
2021-09-15,CBE Mobile Banking,4.0
2021-09-16,CBE Mobile Banking,5.0
2021-09-21,CBE Mobile Banking,4.0
2021-09-22,CBE Mobile Banking,5.0
2021-09-23,CBE Mobile Banking,4.0
2021-09-25,CBE Mobile Banking,5.0
2021-09-27,CBE Mobile Banking,5.0
2021-09-28,CBE Mobile Banking,4.5
2021-09-30,CBE Mobile Banking,3.5
2021-10-05,CBE Mobile Banking,2.0
2021-10-06,CBE Mobile Banking,5.0
2021-10-07,CBE Mobile Banking,5.0
2021-10-08,CBE Mobile Banking,4.0
2021-10-09,CBE Mobile Banking,5.0
2021-10-10,CBE Mobile Banking,4.0
2021-10-11,CBE Mobile Banking,2.0
2021-10-12,CBE Mobile Banking,5.0
2021-10-13,CBE Mobile Banking,1.0
2021-10-14,CBE Mobile Banking,3.0
2021-10-15,CBE Mobile Banking,4.333333333333333
2021-10-16,CBE Mobile Banking,5.0
2021-10-18,CBE Mobile Banking,5.0
2021-10-21,CBE Mobile Banking,4.666666666666667
2021-10-22,CBE Mobile Banking,5.0
2021-10-24,CBE Mobile Banking,2.0
2021-10-25,CBE Mobile Banking,5.0
2021-10-27,CBE Mobile Banking,3.0
2021-10-29,CBE Mobile Banking,5.0
2021-10-30,CBE Mobile Banking,5.0
2021-11-01,CBE Mobile Banking,3.0
2021-11-02,CBE Mobile Banking,5.0
2021-11-03,CBE Mobile Banking,5.0
2021-11-04,CBE Mobile Banking,5.0
2021-11-05,CBE Mobile Banking,4.666666666666667
2021-11-06,CBE Mobile Banking,4.0
2021-11-07,CBE Mobile Banking,5.0
2021-11-08,CBE Mobile Banking,5.0
2021-11-12,CBE Mobile Banking,2.0
2021-11-13,CBE Mobile Banking,5.0
2021-11-15,CBE Mobile Banking,5.0
2021-11-16,CBE Mobile Banking,1.0
2021-11-18,CBE Mobile Banking,5.0
2021-11-19,CBE Mobile Banking,4.0
2021-11-20,CBE Mobile Banking,4.0
2021-11-21,CBE Mobile Banking,5.0
2021-11-22,CBE Mobile Banking,5.0
2021-11-23,CBE Mobile Banking,3.0
2021-11-24,CBE Mobile Banking,5.0
2021-11-25,CBE Mobile Banking,2.0
2021-11-29,CBE Mobile Banking,5.0
2021-12-01,CBE Mobile Banking,1.0
2021-12-02,CBE Mobile Banking,5.0
2021-12-03,CBE Mobile Banking,1.0
2021-12-04,CBE Mobile Banking,5.0
2021-12-05,CBE Mobile Banking,1.0
2021-12-07,CBE Mobile Banking,4.0
2021-12-11,CBE Mobile Banking,5.0
2021-12-12,CBE Mobile Banking,5.0
2021-12-13,CBE Mobile Banking,5.0
2021-12-14,CBE Mobile Banking,5.0
2021-12-15,CBE Mobile Banking,5.0
2021-12-18,CBE Mobile Banking,5.0
2021-12-19,CBE Mobile Banking,3.3333333333333335
2021-12-20,CBE Mobile Banking,4.0
2021-12-21,CBE Mobile Banking,5.0
2021-12-22,CBE Mobile Banking,5.0
2021-12-24,CBE Mobile Banking,4.5
2021-12-25,CBE Mobile Banking,5.0
2021-12-27,CBE Mobile Banking,5.0
2021-12-29,CBE Mobile Banking,5.0
2021-12-30,CBE Mobile Banking,2.0
2021-12-31,CBE Mobile Banking,5.0
2022-01-02,CBE Mobile Banking,1.0
2022-01-04,CBE Mobile Banking,4.0
2022-01-05,CBE Mobile Banking,1.0
2022-01-06,CBE Mobile Banking,5.0
2022-01-07,CBE Mobile Banking,1.0
2022-01-08,CBE Mobile Banking,5.0
2022-01-11,CBE Mobile Banking,5.0
2022-01-13,CBE Mobile Banking,2.0
2022-01-17,CBE Mobile Banking,4.0
2022-01-18,CBE Mobile Banking,5.0
2022-01-19,CBE Mobile Banking,3.0
2022-01-20,CBE Mobile Banking,4.0
2022-01-21,CBE Mobile Banking,4.0
2022-01-24,CBE Mobile Banking,4.0
2022-01-28,CBE Mobile Banking,1.0
2022-01-29,CBE Mobile Banking,5.0
2022-01-31,CBE Mobile Banking,4.0
2022-02-01,CBE Mobile Banking,3.5
2022-02-02,CBE Mobile Banking,4.0
2022-02-03,CBE Mobile Banking,5.0
2022-02-04,CBE Mobile Banking,1.5
2022-02-05,CBE Mobile Banking,4.5
2022-02-06,CBE Mobile Banking,3.0
2022-02-07,CBE Mobile Banking,1.0
2022-02-09,CBE Mobile Banking,1.0
2022-02-10,CBE Mobile Banking,3.0
2022-02-11,CBE Mobile Banking,2.727272727272727
2022-02-12,CBE Mobile Banking,4.0
2022-02-13,CBE Mobile Banking,4.153846153846154
2022-02-14,CBE Mobile Banking,3.6
2022-02-15,CBE Mobile Banking,3.7777777777777777
2022-02-16,CBE Mobile Banking,2.3333333333333335
2022-02-17,CBE Mobile Banking,4.0
2022-02-18,CBE Mobile Banking,3.75
2022-02-20,CBE Mobile Banking,3.0
2022-02-22,CBE Mobile Banking,2.0
2022-02-23,CBE Mobile Banking,2.0
2022-02-25,CBE Mobile Banking,3.5
2022-02-26,CBE Mobile Banking,4.5
2022-02-27,CBE Mobile Banking,5.0
2022-02-28,CBE Mobile Banking,4.0
2022-03-01,CBE Mobile Banking,1.0
2022-03-02,CBE Mobile Banking,2.0
2022-03-03,CBE Mobile Banking,3.0
2022-03-04,CBE Mobile Banking,5.0
2022-03-05,CBE Mobile Banking,1.0
2022-03-06,CBE Mobile Banking,4.5
2022-03-07,CBE Mobile Banking,4.0
2022-03-08,CBE Mobile Banking,4.333333333333333
2022-03-09,CBE Mobile Banking,1.0
2022-03-10,CBE Mobile Banking,3.3333333333333335
